"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"517","Atlanta","18","6","393","60","135","17","53","21","26","7","39","32","10","0","25","20","158",".444",".321",".808",".539","19.7","99","107","21.8","8.8","2.2","1.8","belinma01"
"518","Boston","22","7","537","76","187","31","86","29","33","8","49","37","10","2","24","36","212",".406",".360",".879",".526","19.4","101","111","24.4","9.6","2.2","1.7","belinma01"
"519","CHA, CHO","15","5","350","49","135","18","63","20","24","1","19","30","10","1","11","31","136",".363",".286",".833",".467","20.4","97","104","23.3","9.1","1.3","2.0","belinma01"
"520","Chicago","15","5","352","46","110","15","50","19","27","5","38","25","12","0","17","25","126",".418",".300",".704",".517","18.0","99","108","23.4","8.4","2.5","1.7","belinma01"
"521","Cleveland","17","5","404","70","150","24","64","32","37","5","32","23","5","1","16","29","196",".467",".375",".865",".589","20.8","112","111","23.8","11.5","1.9","1.4","belinma01"
"522","Dallas","26","9","564","81","184","32","92","45","57","6","57","29","14","0","26","35","239",".440",".348",".789",".572","19.4","107","110","21.7","9.2","2.2","1.1","belinma01"
"523","Denver","20","8","440","77","181","35","78","22","27","8","40","29","15","2","14","31","211",".425",".449",".815",".547","21.1","110","112","22.0","10.6","2.0","1.5","belinma01"
"524","Detroit","22","5","501","72","164","28","70","33","38","5","33","32","10","4","20","44","205",".439",".400",".868",".567","18.8","107","112","22.8","9.3","1.5","1.5","belinma01"
"525","Golden State","21","6","513","86","179","31","86","34","38","5","36","39","11","0","29","36","237",".480",".360",".895",".605","19.5","111","112","24.4","11.3","1.7","1.9","belinma01"
"526","Houston","21","10","497","82","193","32","92","19","23","7","42","36","11","2","15","32","215",".425",".348",".826",".529","19.6","105","114","23.6","10.2","2.0","1.7","belinma01"
"527","Indiana","22","10","591","91","205","30","81","45","60","7","54","45","18","3","21","43","257",".444",".370",".750",".555","19.0","111","112","26.9","11.7","2.5","2.0","belinma01"
"528","LA Clippers","25","9","525","71","182","33","88","25","32","3","42","57","10","1","19","47","200",".390",".375",".781",".510","18.3","106","112","21.0","8.0","1.7","2.3","belinma01"
"529","LA Lakers","24","10","601","86","228","42","96","32","39","4","46","38","19","2","24","37","246",".377",".438",".821",".502","20.1","99","113","25.0","10.3","1.9","1.6","belinma01"
"530","Memphis","27","10","628","99","223","39","102","37","49","6","59","47","13","2","37","44","274",".444",".382",".755",".560","21.2","104","109","23.2","10.1","2.2","1.7","belinma01"
"531","Miami","17","6","384","41","119","15","56","36","45","3","24","35","9","1","16","26","133",".345",".268",".800",".479","18.6","99","112","22.6","7.8","1.4","2.1","belinma01"
"532","Milwaukee","18","6","421","66","145","27","65","40","50","5","52","26","12","1","21","30","199",".455",".415",".800",".596","20.1","112","107","23.4","11.1","2.9","1.4","belinma01"
"533","Minnesota","23","6","525","91","190","38","81","16","25","2","34","33","12","1","27","30","236",".479",".469",".640",".587","19.5","106","112","22.8","10.3","1.5","1.4","belinma01"
"534","NJN, BRK","18","8","421","62","129","23","54","29","34","1","31","41","18","1","17","27","176",".481",".426",".853",".611","17.7","115","108","23.4","9.8","1.7","2.3","belinma01"
"535","NOH, NOP","17","1","343","58","120","24","52","19","24","2","33","28","9","2","11","18","159",".483",".462",".792",".609","19.0","112","106","20.2","9.4","1.9","1.6","belinma01"
"536","New York","20","8","527","81","169","33","68","44","49","4","55","35","19","0","23","31","239",".479",".485",".898",".627","18.6","116","108","26.4","12.0","2.8","1.8","belinma01"
"537","SEA, OKC","26","11","629","89","204","30","90","34","37","5","49","29","20","1","41","39","242",".436",".333",".919",".549","18.3","97","114","24.2","9.3","1.9","1.1","belinma01"
"538","Orlando","18","4","366","57","123","27","55","23","27","3","39","31","5","1","17","15","164",".463",".491",".852",".608","18.7","113","109","20.3","9.1","2.2","1.7","belinma01"
"539","Philadelphia","16","5","361","54","134","15","49","23","29","4","39","33","14","0","16","18","146",".403",".306",".793",".497","20.3","101","104","22.5","9.1","2.4","2.1","belinma01"
"540","Phoenix","25","10","529","63","188","25","82","27","32","6","64","24","12","3","20","44","178",".335",".305",".844",".440","18.8","89","109","21.2","7.1","2.6","1.0","belinma01"
"541","Portland","27","11","630","100","212","42","88","25","29","7","60","39","13","2","24","38","267",".472",".477",".862",".594","18.5","112","113","23.3","9.9","2.2","1.4","belinma01"
"542","Sacramento","19","10","444","56","172","20","78","32","34","4","37","28","10","2","18","28","164",".326",".256",".941",".439","21.0","90","109","23.4","8.6","1.9","1.5","belinma01"
"543","San Antonio","20","7","452","57","157","23","53","24","32","6","34","38","10","2","23","15","161",".363",".434",".750",".471","19.9","92","117","22.6","8.1","1.7","1.9","belinma01"
"544","Toronto","16","5","380","49","124","21","60","29","32","2","30","26","10","2","16","29","148",".395",".350",".906",".536","18.5","105","111","23.7","9.3","1.9","1.6","belinma01"
"545","Utah","24","9","581","81","179","32","70","40","47","6","49","43","14","0","33","39","234",".453",".457",".851",".586","18.7","109","112","24.2","9.8","2.0","1.8","belinma01"
"546","Washington","15","4","317","51","125","16","48","22","25","0","36","26","6","2","13","18","140",".408",".333",".880",".515","21.8","101","107","21.1","9.3","2.4","1.7","belinma01"
"547","Total","205","114","5245","817","1852","307","830","323","382","104","628","246","85","17","266","308","2264",".441",".370",".846",".560","19.4","103","115","25.6","11.0","3.1","1.2","bogdabo02"
"548","Home","105","55","2755","441","956","195","479","164","193","70","341","125","44","9","136","168","1241",".461",".407",".850",".596","19.1","108","113","26.2","11.8","3.2","1.2","bogdabo02"
"549","Road","100","59","2490","376","896","112","351","159","189","34","287","121","41","8","130","140","1023",".420",".319",".841",".522","19.7","97","116","24.9","10.2","2.9","1.2","bogdabo02"
"550","Pre","153","91","3850","560","1307","211","599","243","284","83","471","172","66","12","185","236","1574",".428",".352",".856",".550","18.7","102","114","25.2","10.3","3.1","1.1","bogdabo02"
"551","Post","52","23","1395","257","545","96","231","80","98","21","157","74","19","5","81","72","690",".472",".416",".816",".587","21.4","106","117","26.8","13.3","3.0","1.4","bogdabo02"
"552","Win","66","30","1691","289","582","116","269","114","135","39","209","71","24","8","84","83","808",".497",".431",".844",".630","19.1","115","109","25.6","12.2","3.2","1.1","bogdabo02"
"553","Loss","139","84","3554","528","1270","191","561","209","247","65","419","175","61","9","182","225","1456",".416",".340",".846",".528","19.5","98","118","25.6","10.5","3.0","1.3","bogdabo02"
"554","October","8","5","211","41","84","8","29","17","21","6","24","7","2","2","12","17","107",".488",".276",".810",".574","21.4","106","116","26.4","13.4","3.0","0.9","bogdabo02"
"555","November","41","27","1126","154","363","53","168","64","76","22","128","43","24","0","54","51","425",".424",".315",".842",".536","17.8","99","112","27.5","10.4","3.1","1.0","bogdabo02"
"556","December","46","31","1124","172","391","71","184","61","76","24","140","49","21","6","44","80","476",".440",".386",".803",".561","18.3","106","114","24.4","10.3","3.0","1.1","bogdabo02"
"557","January","46","28","1122","152","380","57","171","82","87","19","146","65","17","3","60","69","443",".400",".333",".943",".530","19.2","98","115","24.4","9.6","3.2","1.4","bogdabo02"
"558","February","20","4","479","72","166","37","86","36","44","15","57","19","3","1","28","31","217",".434",".430",".818",".585","20.2","104","116","23.9","10.9","2.9","1.0","bogdabo02"
"559","March","30","14","791","152","304","50","124","45","57","14","94","45","10","3","51","39","399",".500",".403",".789",".606","21.5","109","118","26.4","13.3","3.1","1.5","bogdabo02"
"560","April","14","5","393","74","164","31","68","18","21","4","39","18","8","2","17","21","197",".451",".456",".857",".569","21.4","105","118","28.1","14.1","2.8","1.3","bogdabo02"
"561","Sunday","20","11","482","75","185","33","89","21","27","12","65","28","10","1","26","26","204",".405",".371",".778",".518","20.6","95","114","24.1","10.2","3.3","1.4","bogdabo02"
"562","Monday","33","18","851","142","309","45","131","61","72","29","105","36","17","3","37","52","390",".460",".344",".847",".572","19.9","110","117","25.8","11.8","3.2","1.1","bogdabo02"
"563","Tuesday","23","13","529","89","192","33","88","54","61","9","68","28","14","1","25","26","265",".464",".375",".885",".605","20.1","115","113","23.0","11.5","3.0","1.2","bogdabo02"
"564","Wednesday","43","22","1164","180","394","71","178","58","67","27","148","50","20","3","58","63","489",".457",".399",".866",".577","18.6","105","114","27.1","11.4","3.4","1.2","bogdabo02"
"565","Thursday","11","11","290","50","114","19","57","14","16","4","27","18","2","1","20","19","133",".439",".333",".875",".549","20.9","98","116","26.4","12.1","2.5","1.6","bogdabo02"
"566","Friday","41","20","1052","155","357","65","164","58","72","15","111","43","14","6","54","68","433",".434",".396",".806",".557","18.8","100","113","25.7","10.6","2.7","1.0","bogdabo02"
"567","Saturday","34","19","877","126","301","41","123","57","67","8","104","43","8","2","46","54","350",".419",".333",".851",".530","19.1","97","116","25.8","10.3","3.1","1.3","bogdabo02"
"568","Starter","114","114","3268","523","1199","190","530","239","275","59","391","172","48","9","169","201","1475",".436",".358",".869",".559","20.1","104","115","28.7","12.9","3.4","1.5","bogdabo02"
"569","Reserve","91","0","1977","294","653","117","300","84","107","45","237","74","37","8","97","107","789",".450",".390",".785",".564","18.3","101","114","21.7","8.7","2.6","0.8","bogdabo02"
"570","40+","5","3","217","30","61","11","28","8","10","9","23","10","3","2","6","9","79",".492",".393",".800",".604","15.6","120","119","43.4","15.8","4.6","2.0","bogdabo02"
"571","30-39","56","44","1884","329","669","105","286","123","141","37","236","103","26","4","97","99","886",".492",".367",".872",".606","19.6","111","113","33.6","15.8","4.2","1.8","bogdabo02"
"572","20-29","100","62","2507","389","919","159","414","172","201","45","285","114","42","6","129","157","1109",".423",".384",".856",".550","20.0","101","116","25.1","11.1","2.9","1.1","bogdabo02"
"573","10-19","37","5","598","66","192","32","97","20","30","11","79","19","13","5","32","38","184",".344",".330",".667",".448","17.9","80","113","16.2","5.0","2.1","0.5","bogdabo02"
"574","0-9","7","0","39","3","11","0","5","0","0","2","5","0","1","0","2","5","6",".273",".000",NA,".273","15.4","51","109","5.6","0.9","0.7","0.0","bogdabo02"
"575","0 Days","40","19","959","147","324","48","135","56","63","11","107","49","16","4","46","54","398",".454",".356",".889",".566","18.5","102","117","24.0","10.0","2.7","1.2","bogdabo02"
"576","1 Day","125","71","3310","528","1197","206","542","202","244","76","394","146","53","11","165","201","1464",".441",".380",".828",".561","19.8","103","114","26.5","11.7","3.2","1.2","bogdabo02"
"577","2 Days","25","15","601","82","195","31","92","48","54","8","84","27","11","1","31","30","243",".421",".337",".889",".555","18.4","102","112","24.1","9.7","3.4","1.1","bogdabo02"
"578","3+ Days","12","7","296","45","105","18","49","14","18","7","37","21","4","0","18","17","122",".429",".367",".778",".540","19.9","100","113","24.7","10.2","3.1","1.8","bogdabo02"
"579","Eastern","130","70","3347","515","1188","204","545","204","236","70","414","163","53","13","176","204","1438",".434",".374",".864",".557","19.6","102","114","25.7","11.1","3.2","1.3","bogdabo02"
"580","Western","75","44","1898","302","664","103","285","119","146","34","214","83","32","4","90","104","826",".455",".361",".815",".567","19.1","105","115","25.3","11.0","2.9","1.1","bogdabo02"
"581","Atlantic","38","19","961","148","332","59","155","51","58","22","140","46","19","6","57","47","406",".446",".381",".879",".568","19.1","102","112","25.3","10.7","3.7","1.2","bogdabo02"
"582","Central","48","26","1227","190","453","71","203","67","84","23","128","64","18","5","66","90","518",".419",".350",".798",".529","20.3","97","115","25.6","10.8","2.7","1.3","bogdabo02"
"583","Northwest","25","15","629","101","227","32","88","31","38","9","47","33","8","0","28","27","265",".445",".364",".816",".544","19.4","103","118","25.2","10.6","1.9","1.3","bogdabo02"
"584","Pacific","27","17","728","117","244","42","117","59","69","10","92","26","12","3","38","45","335",".480",".359",".855",".611","18.5","109","113","26.9","12.4","3.4","1.0","bogdabo02"
"585","Southeast","44","25","1159","177","403","74","187","86","94","25","146","53","16","2","53","67","514",".439",".396",".915",".578","19.3","107","115","26.3","11.7","3.3","1.2","bogdabo02"
"586","Southwest","23","12","542","84","193","29","80","29","39","15","75","24","12","1","24","32","226",".435",".363",".744",".538","19.4","101","115","23.6","9.8","3.3","1.0","bogdabo02"
"587","Atlanta","8","2","196","30","63","12","30","5","5","4","20","15","3","0","13","9","77",".476",".400","1.000",".590","17.8","103","121","24.5","9.6","2.5","1.9","bogdabo02"
"588","Boston","10","5","228","34","95","10","45","13","14","9","48","11","2","3","16","9","91",".358",".222",".929",".450","21.6","88","113","22.8","9.1","4.8","1.1","bogdabo02"
"589","Charlotte","10","4","244","32","89","18","47","30","33","4","38","11","2","2","6","12","112",".360",".383",".909",".541","20.2","106","112","24.4","11.2","3.8","1.1","bogdabo02"
"590","Chicago","9","5","216","38","83","11","30","15","16","6","18","13","5","0","8","16","102",".458",".367",".938",".566","19.8","112","119","24.1","11.3","2.0","1.4","bogdabo02"
"591","Cleveland","11","6","268","42","96","15","49","8","10","5","31","13","4","0","15","22","107",".438",".306",".800",".533","19.0","94","114","24.3","9.7","2.8","1.2","bogdabo02"
